TransactionRef,Amt,TxnDate,AccountNumber
TXN00001,16529.72,01/20/2026,ACC7468
TXN00002,27026.16,02/16/2026,ACC1950
TXN00003,21965.46,01/09/2026,ACC4943
TXN00004,47398.76,03/22/2026,ACC2013
TXN00005,2805.84,04/20/2026,ACC3181
TXN00006,28760.23,03/13/2026,ACC3961
TXN00007,18933.68,03/12/2026,ACC2028
TXN00008,34179.8,02/24/2026,ACC6146
TXN00009,15338.47,04/12/2026,ACC3945
TXN00010,26497.23,04/23/2026,ACC6627
TXN00011,6344.26,02/23/2026,ACC3702
TXN00012,21374.07,03/27/2026,ACC2271
TXN00013,17336.06,02/14/2026,ACC9137
TXN00014,47261.71,03/02/2026,ACC2064
TXN00015,35223.86,03/24/2026,ACC8301
TXN00016,1616.86,03/01/2026,ACC6823
TXN00017,11301.28,02/06/2026,ACC3119
TXN00018,4488.77,02/27/2026,ACC7580
TXN00019,43267.23,02/05/2026,ACC7804
TXN00020,47907.69,01/20/2026,ACC2359
TXN00021,1097.12,04/17/2026,ACC3987
TXN00022,21237.85,02/17/2026,ACC6220
TXN00023,47536.09,03/25/2026,ACC1884
TXN00024,20204.45,02/20/2026,ACC2696
TXN00025,3833.71,01/27/2026,ACC8219
TXN00026,5567.79,03/14/2026,ACC3478
TXN00027,3980.62,01/27/2026,ACC7164
TXN00028,30312.82,03/02/2026,ACC3012
TXN00029,24279.56,02/09/2026,ACC2407
TXN00030,24191.79,03/30/2026,ACC3645
TXN00031,18406.75,03/30/2026,ACC9899
TXN00032,48935.81,04/21/2026,ACC2491
TXN00033,45458.8,02/15/2026,ACC4650
TXN00034,32003.88,03/20/2026,ACC4197
TXN00035,10395.94,03/05/2026,ACC6825
TXN00036,23875.88,01/25/2026,ACC6640
TXN00037,47772.53,02/16/2026,ACC2319
TXN00038,17218.01,03/03/2026,ACC1031
TXN00039,41815.12,01/16/2026,ACC7365
TXN00040,44506.04,02/25/2026,ACC6447
TXN00041,23426.45,04/06/2026,ACC2391
TXN00042,1863.67,03/17/2026,ACC8624
TXN00043,33034.78,02/14/2026,ACC3554
TXN00044,40068.17,04/03/2026,ACC2683
TXN00045,49334.2,01/25/2026,ACC4457
TXN00046,38302.15,02/11/2026,ACC5249
TXN00047,45545.84,02/15/2026,ACC8506
TXN00048,21321.1,04/28/2026,ACC9219
TXN00049,1425.89,02/26/2026,ACC4000
TXN00050,9031.16,03/02/2026,ACC2971
TXN00051,26770.95,03/03/2026,ACC2738
TXN00052,9969.65,01/06/2026,ACC2601
TXN00053,22440.8,03/20/2026,ACC9282
TXN00054,22891.12,03/10/2026,ACC8832
TXN00055,43888.51,05/01/2026,ACC5253
TXN00056,42079.99,01/18/2026,ACC7826
TXN00057,33722.19,02/24/2026,ACC2198
TXN00058,44902.81,01/20/2026,ACC6999
TXN00059,11369.6,01/13/2026,ACC7525
TXN00060,8492.57,02/25/2026,ACC9447
TXN00061,16267.02,04/03/2026,ACC6995
TXN00062,19525.06,03/08/2026,ACC5840
TXN00063,49261.62,04/11/2026,ACC4744
TXN00064,13960.06,04/26/2026,ACC3974
TXN00065,42554.6,03/28/2026,ACC5237
TXN00066,28744.45,03/31/2026,ACC6358
TXN00067,34566.18,02/24/2026,ACC2186
TXN00068,4884.01,02/03/2026,ACC2372
TXN00069,43207.36,02/28/2026,ACC1189
TXN00070,31274.32,01/06/2026,ACC9632
TXN00071,13463.82,01/24/2026,ACC4305
TXN00072,38095.16,02/07/2026,ACC8302
TXN00073,40282.11,02/02/2026,ACC1605
TXN00074,25954.63,02/01/2026,ACC8324
TXN00075,32997.22,03/11/2026,ACC7440
TXN00076,49130.81,02/13/2026,ACC4254
TXN00077,20532.54,02/14/2026,ACC1891
TXN00078,31459.69,04/23/2026,ACC5187
TXN00079,33428.77,02/18/2026,ACC9289
TXN00080,34787.93,01/06/2026,ACC8527
TXN00081,13530.53,02/12/2026,ACC9963
TXN00082,44178.23,01/28/2026,ACC6842
TXN00083,23994.86,03/06/2026,ACC4292
TXN00084,13576.35,01/12/2026,ACC3357
TXN00085,1613.46,02/08/2026,ACC4814
TXN00086,33048.41,04/02/2026,ACC7381
TXN00087,7898.43,04/03/2026,ACC3371
TXN00088,36825.68,04/14/2026,ACC9282
TXN00089,28639.74,04/15/2026,ACC1263
TXN00090,4712.04,01/06/2026,ACC3180
TXN00091,41873.15,03/13/2026,ACC1831
TXN00092,24720.07,01/01/2026,ACC8486
TXN00093,44943.95,01/12/2026,ACC9617
TXN00094,36971.02,02/02/2026,ACC2219
TXN00095,11921.44,03/25/2026,ACC8542
TXN00096,45568.1,02/06/2026,ACC1765
TXN00097,30185.41,02/12/2026,ACC5160
TXN00098,1117.23,01/08/2026,ACC8959
TXN00099,33947.53,02/07/2026,ACC9462
TXN00100,49668.37,03/12/2026,ACC4264
TXN00101,23910.79,02/07/2026,ACC8519
